historicSpotId,name,areaName,yomigana,latitude,longitude,typeRegisterStamp,url,gpsMeter,worship_card_top_image_url,worshipUrl,img,date,dateStart,dateEnd,proverbs,timeStartWeekDays,timeEndWeekDays,timeStartHoliday,timeEndHoliday
nexco-0106,斎宮歴史博物館,明和観光,明和町竹川５０３,34.54260161304128,136.6097586784656,gpsDate,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,参拝画像.png,2025/10/18,2025-10-18 13:00:00,2025-10-18 17:00:00,,9:00,10:00,8:00,12:00
nexco-0107,隆子女王の墓,明和観光,明和町馬之上,34.55485620585026,136.6267927326376,gpsDate,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,参拝画像.png,2025/11/11,2025-11-11 14:00:00,2025-11-11 17:00:00,,9:00,10:00,8:00,12:00
nexco-0108,竹大與杼神社,式内社,明和町大字大淀乙,34.560948605545725,136.65506005850773,gpsDate,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,参拝画像.png,2025/11/15,2025-11-15 09:00:00,2025-11-15 17:00:00,,9:00,10:00,8:00,12:00
nexco-0109,伊呂上神社跡,式内社,明和町中村,34.582188232638046,136.6390397681774,gpsDate,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,参拝画像.png,2025/12/16,2025-12-16 13:30:00,2025-12-16 15:30:00,,9:00,10:00,8:00,12:00
nexco-0110,畠田神社 三座,式内社,明和町中村,34.586620926631156, 136.619474704513,gpsDate,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,参拝画像.png,,,,,20:00,21:00,8:00,12:00
nexco-0111,佐支栗栖神社 二座,式内社,明和町中村,34.575343172821825,136.6144077730151,gpsDate,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード2.png,,参拝画像.png,,,,,9:00,10:00,8:00,12:00
nexco-0112,麻績神社,式内社,明和町大字中海,34.55670851373701,136.6134325193193,gpsDate,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード2.png,,参拝画像.png,,,,,9:00,10:00,8:00,12:00
nexco-0113,宇爾桜神社,駐車場所,明和町有爾中,34.52042645482911,136.61646885959757,gpsDate,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード2.png,,参拝画像.png,2026/3/17,2026-03-17 10:00:00,2026-03-17 12:00:00,,9:00,10:00,8:00,12:00
nexco-0114,宇爾桜神社,式内社,明和町有爾中,34.52040104055118,136.61541609260325,gpsDate,https://sapa.c-nexco.co.jp/sapa?sapainfoid=138,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード2.png,,参拝画像.png,2026/3/17,2026-03-17 10:00:00,2026-03-17 12:00:00,2-190　真木柱太き心はありしかどこのあが心鎮めかねつも / 舎人,9:00,10:00,8:00,12:00
nexco-2017,安濃SA,伊勢自動車道,ano,34.778375419739156,136.4715433332016,gpsDate,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,安濃SA.png,,,,,9:00,10:00,8:00,12:00
